16:16:14 Server load: FPS 47, memory used: 2075 MB, out: 24894 Kbps, in: 623 Kbps, NG:0, G:19306, BE-NG:0, BE-G:0, Players: 98 (L:0, R:1, B:1, G:96, D:0)
16:16:19 Server load: FPS 47, memory used: 2075 MB, out: 22965 Kbps, in: 570 Kbps, NG:0, G:6421, BE-NG:0, BE-G:0, Players: 98 (L:0, R:1, B:1, G:96, D:0)
16:16:24 Server load: FPS 47, memory used: 2075 MB, out: 23336 Kbps, in: 601 Kbps, NG:0, G:6536, BE-NG:0, BE-G:0, Players: 98 (L:0, R:1, B:1, G:96, D:0)
16:16:29 Server load: FPS 46, memory used: 2074 MB, out: 22298 Kbps, in: 607 Kbps, NG:0, G:13230, BE-NG:0, BE-G:0, Players: 98 (L:0, R:1, B:1, G:96, D:0)
16:16:34 Server load: FPS 46, memory used: 2072 MB, out: 22704 Kbps, in: 580 Kbps, NG:0, G:23115, BE-NG:0, BE-G:0, Players: 98 (L:0, R:1, B:1, G:96, D:0)
16:16:39 Server load: FPS 46, memory used: 2082 MB, out: 23301 Kbps, in: 587 Kbps, NG:0, G:0, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:2, G:96, D:0)
16:16:44 Server load: FPS 46, memory used: 2082 MB, out: 20524 Kbps, in: 541 Kbps, NG:0, G:0, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:2, G:96, D:0)
16:16:50 Server load: FPS 47, memory used: 2082 MB, out: 25423 Kbps, in: 619 Kbps, NG:0, G:15345, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:2, G:96, D:0)
16:16:55 Server load: FPS 46, memory used: 2078 MB, out: 25703 Kbps, in: 623 Kbps, NG:0, G:0, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:2, G:96, D:0)
16:17:00 Server load: FPS 46, memory used: 2075 MB, out: 21305 Kbps, in: 542 Kbps, NG:0, G:6598, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:2, G:96, D:0)
16:17:05 Server load: FPS 46, memory used: 2076 MB, out: 22636 Kbps, in: 532 Kbps, NG:0, G:58, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:2, G:96, D:0)
16:17:10 Server load: FPS 46, memory used: 2074 MB, out: 20530 Kbps, in: 519 Kbps, NG:0, G:9172, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:2, G:96, D:0)
16:17:15 Server load: FPS 46, memory used: 2073 MB, out: 19805 Kbps, in: 480 Kbps, NG:0, G:0, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:2, G:96, D:0)
16:17:20 Server load: FPS 46, memory used: 2071 MB, out: 23074 Kbps, in: 487 Kbps, NG:0, G:9603, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:2, G:96, D:0)
16:17:25 Server load: FPS 46, memory used: 2067 MB, out: 25095 Kbps, in: 512 Kbps, NG:0, G:7100, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:2, G:96, D:0)
16:17:30 Server load: FPS 46, memory used: 2065 MB, out: 22513 Kbps, in: 535 Kbps, NG:0, G:12969, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:1, G:97, D:0)
16:17:35 Server load: FPS 46, memory used: 2064 MB, out: 17090 Kbps, in: 461 Kbps, NG:0, G:6336, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:1, G:97, D:0)
16:17:40 Server load: FPS 46, memory used: 2064 MB, out: 17936 Kbps, in: 472 Kbps, NG:0, G:6534, BE-NG:0, BE-G:0, Players: 98 (L:0, R:0, B:1, G:97, D:0)
16:17:45 Server load: FPS 45, memory used: 2064 MB, out: 21140 Kbps, in: 533 Kbps, NG:0, G:792, BE-NG:0, BE-G:0, Players: 98 (L:1, R:0, B:1, G:96, D:0)
