16:00:03 Initializing stats manager.
16:00:03 Stats config disabled.
16:02:35 [KPLIB] [STATS] chkn - FPS: 7 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 18, execVM: 26, exec: 0, execFSM: 3]
16:02:38 [KPLIB] [STATS] ODDBALL - FPS: 3.82 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 15, execVM: 26, exec: 0, execFSM: 3]
16:02:38 [KPLIB] [STATS] Banana - FPS: 3.52 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 13, execVM: 25, exec: 0, execFSM: 3]
16:02:39 [KPLIB] [STATS] neuro - FPS: 3.73 - Local groups: 2 - Local units: 1 - Active Scripts: [spawn: 17, execVM: 24, exec: 0, execFSM: 2]
16:02:40 [KPLIB] [STATS] Spoomns - FPS: 3.92 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 21, execVM: 26, exec: 0, execFSM: 3]
16:02:41 [KPLIB] [STATS] BoogerShuga - FPS: 2.77 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 16, execVM: 24, exec: 0, execFSM: 3]
16:02:43 [KPLIB] [STATS] Pandora - FPS: 24.1 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 13, execVM: 24, exec: 0, execFSM: 2]
16:02:48 [KPLIB] [STATS] GER | Decay - FPS: 3.42 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 27, execVM: 25, exec: 0, execFSM: 2]
16:02:53 [KPLIB] [STATS] Octuplefire - FPS: 3.09 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 15, execVM: 25, exec: 0, execFSM: 2]
16:02:53 [KPLIB] [STATS] Silver - FPS: 2.45 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 16, execVM: 25, exec: 0, execFSM: 2]
16:02:58 [KPLIB] [STATS] Bat - FPS: 3.27 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 23, execVM: 26, exec: 0, execFSM: 2]
16:03:01 [KPLIB] [STATS] Zack - FPS: 3.17 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 16, execVM: 25, exec: 0, execFSM: 2]
16:03:02 [KPLIB] [STATS] Alien Joe - FPS: 3.31 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 13, execVM: 24, exec: 0, execFSM: 3]
16:03:03 [KPLIB] [STATS] John - FPS: 2.51 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 15, execVM: 25, exec: 0, execFSM: 2]
16:03:05 [KPLIB] [STATS] Server - FPS: 46.11 - Local groups: 23 - Local units: 4 - Active Sectors: 1 - Active Scripts: [spawn: 44, execVM: 29, exec: 0, execFSM: 10]
16:03:10 [KPLIB] [STATS] spkaaant - FPS: 1.7 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 23, execVM: 26, exec: 0, execFSM: 3]
16:03:13 [KPLIB] [STATS] PowerChopper - FPS: 3.66 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 16, execVM: 25, exec: 0, execFSM: 2]
16:03:15 [KPLIB] [STATS] Squanto O'Malley - FPS: 2.92 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 26, execVM: 24, exec: 0, execFSM: 2]
16:03:16 [KPLIB] [STATS] kc9zyv - FPS: 3.51 - Local groups: 2 - Local units: 1 - Active Scripts: [spawn: 27, execVM: 24, exec: 0, execFSM: 2]
16:03:17 [KPLIB] [STATS] Szigor - FPS: 3.36 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 16, execVM: 25, exec: 0, execFSM: 2]
16:03:18 [KPLIB] [STATS] Tetlys - FPS: 3.36 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 12, execVM: 25, exec: 0, execFSM: 2]
16:03:21 [KPLIB] [STATS] c0lds - FPS: 2.08 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 12, execVM: 25, exec: 0, execFSM: 2]
16:03:34 [KPLIB] [STATS] Doc Lentz - FPS: 1.7 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 24, execVM: 26, exec: 0, execFSM: 3]
16:03:36 [KPLIB] [STATS] GioNos1 - FPS: 3.46 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 27, execVM: 25, exec: 0, execFSM: 3]
16:03:36 [KPLIB] [STATS] duckx1 - FPS: 2.82 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 16, execVM: 25, exec: 0, execFSM: 2]
16:03:37 [KPLIB] [STATS] Zensa - FPS: 1.95 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 17, execVM: 25, exec: 0, execFSM: 2]
16:03:38 [KPLIB] [STATS] CudaBudah - FPS: 3.98 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 13, execVM: 25, exec: 0, execFSM: 2]
16:03:39 [KPLIB] [STATS] UNIT-135 - FPS: 3.6 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 26, execVM: 25, exec: 0, execFSM: 2]
16:03:42 [KPLIB] [STATS] Medln - FPS: 3.09 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 27, execVM: 25, exec: 0, execFSM: 3]
16:03:45 [KPLIB] [STATS] Cynic - FPS: 4.29 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 24, execVM: 25, exec: 0, execFSM: 3]
16:03:56 [KPLIB] [STATS] Kpl1. Kevin t H. - FPS: 2.86 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 16, execVM: 25, exec: 0, execFSM: 2]
16:03:58 [KPLIB] [STATS] ryan_ - FPS: 2.78 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 17, execVM: 24, exec: 0, execFSM: 2]
16:03:59 [KPLIB] [STATS] Pandora - FPS: 4.18 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 24, execVM: 26, exec: 0, execFSM: 3]
16:04:01 [KPLIB] [STATS] Fricofresh - FPS: 4.96 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 17, execVM: 25, exec: 0, execFSM: 2]
16:04:04 [KPLIB] [STATS] DrSeminole - FPS: 6.12 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 12, execVM: 25, exec: 0, execFSM: 2]
16:04:05 [KPLIB] [STATS] Theo - FPS: 4.1 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 17, execVM: 25, exec: 0, execFSM: 2]
16:04:07 [KPLIB] [STATS] bcarr - FPS: 4.12 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 29, execVM: 25, exec: 0, execFSM: 2]
16:04:16 [KPLIB] [STATS] Lancer - FPS: 3.95 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 26, execVM: 25, exec: 0, execFSM: 2]
16:04:18 [KPLIB] [STATS] MRPREZIDENT - FPS: 3.51 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 26, execVM: 25, exec: 0, execFSM: 2]
16:04:23 [KPLIB] [STATS] GimliTron - FPS: 3.87 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 16, execVM: 25, exec: 0, execFSM: 2]
16:04:24 [KPLIB] [STATS] Error: No vehicle - FPS: 86.02 - Local groups: 0 - Local units: 0 - Active Scripts: [spawn: 14, execVM: 4, exec: 0, execFSM: 1]
16:04:28 [KPLIB] [STATS] macke - FPS: 3.84 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 26, execVM: 24, exec: 0, execFSM: 2]
16:04:34 [KPLIB] [STATS] Balien - FPS: 2.79 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 16, execVM: 25, exec: 0, execFSM: 3]
16:04:37 [KPLIB] [STATS] RCT H.Ruko - FPS: 3.61 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 15, execVM: 25, exec: 0, execFSM: 2]
16:04:39 [KPLIB] [STATS] D0Nt MaKe Me - FPS: 1.71 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 27, execVM: 25, exec: 0, execFSM: 2]
16:04:45 [KPLIB] [STATS] D'raga - FPS: 3.4 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 15, execVM: 24, exec: 0, execFSM: 2]
16:04:50 [KPLIB] [STATS] CitizenSnips - FPS: 4.18 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 27, execVM: 25, exec: 0, execFSM: 2]
16:05:12 [KPLIB] [STATS] Server - FPS: 31.25 - Local groups: 22 - Local units: 3 - Active Sectors: 1 - Active Scripts: [spawn: 43, execVM: 29, exec: 0, execFSM: 12]
16:05:37 [KPLIB] [STATS] Mooskle - FPS: 1.87 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 19, execVM: 25, exec: 0, execFSM: 2]
16:05:41 [KPLIB] [STATS] Fox - FPS: 5.31 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 11, execVM: 25, exec: 0, execFSM: 2]
16:05:48 [KPLIB] [STATS] Nomad - FPS: 4 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 25, execVM: 24, exec: 0, execFSM: 2]
16:05:51 [KPLIB] [STATS] Pug - FPS: 4.19 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 25, execVM: 24, exec: 0, execFSM: 2]
16:05:54 [KPLIB] [STATS] Blackbeard - FPS: 3.13 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 16, execVM: 25, exec: 0, execFSM: 3]
16:05:55 [KPLIB] [STATS] Lazy - FPS: 3.04 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 17, execVM: 25, exec: 0, execFSM: 2]
16:06:00 [KPLIB] [STATS] Smitty - FPS: 60.38 - Local groups: 5 - Local units: 5 - Active Scripts: [spawn: 22, execVM: 22, exec: 0, execFSM: 3]
16:06:01 [KPLIB] [STATS] Bat - FPS: 30.89 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 16, execVM: 21, exec: 0, execFSM: 2]
16:06:01 [KPLIB] [STATS] Pandora - FPS: 31.43 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 14, execVM: 21, exec: 0, execFSM: 2]
16:06:01 [KPLIB] [STATS] Zack - FPS: 67.51 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 9, execVM: 21, exec: 0, execFSM: 2]
16:06:02 [KPLIB] [STATS] spkaaant - FPS: 49.08 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 15, execVM: 21, exec: 0, execFSM: 2]
16:06:04 [KPLIB] [STATS] sebas - FPS: 1.62 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 16, execVM: 24, exec: 0, execFSM: 2]
