16:01:22 [KPLIB] [STATS] HC1 - FPS: 3.77 - Local groups: 0 - Local units: 0 - Active Scripts: [spawn: 4, execVM: 5, exec: 0, execFSM: 0]
16:06:22 [KPLIB] [STATS] HC1 - FPS: 45.07 - Local groups: 5 - Local units: 19 - Active Scripts: [spawn: 1, execVM: 6, exec: 0, execFSM: 1]
16:11:22 [KPLIB] [STATS] HC1 - FPS: 46.11 - Local groups: 5 - Local units: 19 - Active Scripts: [spawn: 1, execVM: 6, exec: 0, execFSM: 1]
16:16:22 [KPLIB] [STATS] HC1 - FPS: 46.51 - Local groups: 5 - Local units: 19 - Active Scripts: [spawn: 1, execVM: 6, exec: 0, execFSM: 1]
16:21:22 [KPLIB] [STATS] HC1 - FPS: 45.85 - Local groups: 3 - Local units: 3 - Active Scripts: [spawn: 1, execVM: 6, exec: 0, execFSM: 1]
16:26:22 [KPLIB] [STATS] HC1 - FPS: 46.11 - Local groups: 6 - Local units: 22 - Active Scripts: [spawn: 2, execVM: 6, exec: 0, execFSM: 1]
16:31:22 [KPLIB] [STATS] HC1 - FPS: 44.69 - Local groups: 6 - Local units: 22 - Active Scripts: [spawn: 2, execVM: 6, exec: 0, execFSM: 1]
16:36:22 [KPLIB] [STATS] HC1 - FPS: 44.69 - Local groups: 6 - Local units: 22 - Active Scripts: [spawn: 2, execVM: 6, exec: 0, execFSM: 1]
16:41:22 [KPLIB] [STATS] HC1 - FPS: 48.05 - Local groups: 9 - Local units: 45 - Active Scripts: [spawn: 23, execVM: 6, exec: 0, execFSM: 1]
16:46:22 [KPLIB] [STATS] HC1 - FPS: 41.88 - Local groups: 20 - Local units: 98 - Active Scripts: [spawn: 48, execVM: 6, exec: 0, execFSM: 1]
16:51:22 [KPLIB] [STATS] HC1 - FPS: 42.33 - Local groups: 10 - Local units: 53 - Active Scripts: [spawn: 23, execVM: 6, exec: 0, execFSM: 1]
16:56:22 [KPLIB] [STATS] HC1 - FPS: 42.11 - Local groups: 39 - Local units: 183 - Active Scripts: [spawn: 102, execVM: 6, exec: 0, execFSM: 1]
17:01:22 [KPLIB] [STATS] HC1 - FPS: 33.54 - Local groups: 39 - Local units: 180 - Active Scripts: [spawn: 94, execVM: 6, exec: 0, execFSM: 1]
17:06:23 [KPLIB] [STATS] HC1 - FPS: 35.48 - Local groups: 39 - Local units: 163 - Active Scripts: [spawn: 92, execVM: 6, exec: 0, execFSM: 1]
17:11:23 [KPLIB] [STATS] HC1 - FPS: 43.6 - Local groups: 38 - Local units: 150 - Active Scripts: [spawn: 84, execVM: 6, exec: 0, execFSM: 1]
17:16:23 [KPLIB] [STATS] HC1 - FPS: 34.19 - Local groups: 37 - Local units: 134 - Active Scripts: [spawn: 83, execVM: 6, exec: 0, execFSM: 1]
17:21:23 [KPLIB] [STATS] HC1 - FPS: 31.25 - Local groups: 36 - Local units: 126 - Active Scripts: [spawn: 81, execVM: 6, exec: 0, execFSM: 1]
17:26:24 [KPLIB] [STATS] HC1 - FPS: 41.24 - Local groups: 35 - Local units: 114 - Active Scripts: [spawn: 81, execVM: 6, exec: 0, execFSM: 1]
17:31:24 [KPLIB] [STATS] HC1 - FPS: 42.78 - Local groups: 32 - Local units: 108 - Active Scripts: [spawn: 76, execVM: 6, exec: 0, execFSM: 1]
17:36:24 [KPLIB] [STATS] HC1 - FPS: 40.61 - Local groups: 32 - Local units: 101 - Active Scripts: [spawn: 73, execVM: 6, exec: 0, execFSM: 1]
