,Server Time,Server FPS,RAM [MB],out [Kbps],in [Kbps],Non-G Messages,Guaranteed Messages,BE-NG,BE-G,Player Count
76,2021-05-09 16:20:01,46,2073,23262,537,0,14256,0,0,98
77,2021-05-09 16:20:06,46,2073,23865,582,0,6435,0,0,98
78,2021-05-09 16:20:11,46,2074,23425,572,0,6435,0,0,98
79,2021-05-09 16:20:16,46,2074,23847,576,0,0,0,0,98
80,2021-05-09 16:20:21,46,2075,23925,581,0,6534,0,0,98
81,2021-05-09 16:20:26,47,2086,26971,600,0,0,0,0,98
82,2021-05-09 16:20:31,46,2077,25970,570,0,20097,0,0,98
83,2021-05-09 16:20:36,46,2076,22980,580,0,6534,0,0,98
84,2021-05-09 16:20:41,46,2077,24605,598,0,13068,0,0,98
85,2021-05-09 16:20:46,46,2079,27121,633,0,0,0,0,98
86,2021-05-09 16:20:51,46,2077,25296,599,0,0,0,0,98
87,2021-05-09 16:20:56,46,2078,25173,595,0,44,0,0,98
88,2021-05-09 16:21:01,46,2078,26488,610,0,7722,0,0,98
89,2021-05-09 16:21:06,46,2078,27761,633,0,10,0,0,98
90,2021-05-09 16:21:11,46,2079,24988,589,0,6553,0,0,98
91,2021-05-09 16:21:16,46,2078,22893,551,0,0,0,0,98
92,2021-05-09 16:21:21,46,2078,23669,585,0,11781,0,0,98
93,2021-05-09 16:21:26,46,2078,24959,591,0,68,0,0,98
94,2021-05-09 16:21:31,46,2078,23430,562,0,13068,0,0,98
95,2021-05-09 16:21:36,45,2081,30937,631,0,6435,0,0,98
96,2021-05-09 16:21:41,45,2084,29977,560,0,292774,0,0,98
97,2021-05-09 16:21:46,46,2083,22739,551,0,6435,0,0,98
98,2021-05-09 16:21:51,46,2084,22707,559,0,21483,0,0,98
99,2021-05-09 16:21:56,45,2093,33104,603,0,3200,0,0,98
100,2021-05-09 16:22:01,46,2093,27996,623,0,6534,0,0,98
101,2021-05-09 16:22:06,46,2092,29726,602,0,6534,0,0,98
102,2021-05-09 16:22:11,47,2093,22778,580,0,6534,0,0,98
103,2021-05-09 16:22:16,47,2092,21625,568,0,6336,0,0,98
104,2021-05-09 16:22:21,47,2093,26015,628,0,6534,0,0,98
105,2021-05-09 16:22:26,46,2094,23560,575,0,6435,0,0,98
106,2021-05-09 16:22:32,46,2093,23747,566,0,6435,0,0,98
107,2021-05-09 16:22:37,46,2092,22513,557,0,6534,0,0,98
108,2021-05-09 16:22:42,47,2092,23394,584,0,1188,0,0,98
109,2021-05-09 16:22:47,47,2092,26046,591,0,14355,0,0,98
110,2021-05-09 16:22:52,47,2093,25708,595,0,6435,0,0,98
111,2021-05-09 16:22:57,47,2092,24157,581,0,53064,0,0,98
112,2021-05-09 16:23:02,47,2093,24751,585,0,12979,0,0,98
113,2021-05-09 16:23:07,46,2093,22584,583,0,11623,0,0,98
114,2021-05-09 16:23:12,47,2094,23915,597,0,13262,0,0,98
115,2021-05-09 16:23:17,44,2096,28284,636,0,10296,0,0,98
116,2021-05-09 16:23:22,46,2095,26011,629,0,6588,0,0,98
117,2021-05-09 16:23:27,46,2095,28450,635,0,13752,0,0,98
118,2021-05-09 16:23:32,46,2093,27923,714,0,6380,0,0,98
119,2021-05-09 16:23:37,46,2092,22591,649,0,12740,0,0,98
120,2021-05-09 16:23:42,46,2091,22654,607,0,6468,0,0,98
121,2021-05-09 16:23:47,46,2091,23209,617,0,392,0,0,98
122,2021-05-09 16:23:52,46,2092,19197,542,0,8722,0,0,98
123,2021-05-09 16:23:57,46,2092,19910,816,0,12842,0,0,98
124,2021-05-09 16:24:02,46,2107,20866,886,0,20196,0,0,98
125,2021-05-09 16:24:07,46,2106,22286,663,0,6728,0,0,98
126,2021-05-09 16:24:12,46,2106,22057,541,0,6534,0,0,98
127,2021-05-09 16:24:17,46,2112,26229,573,0,40,0,0,98
128,2021-05-09 16:24:22,47,2112,30915,593,0,76567,0,0,98
129,2021-05-09 16:24:28,47,2094,26083,568,0,6576,0,0,98
130,2021-05-09 16:24:33,46,2094,18654,514,0,6435,0,0,98
131,2021-05-09 16:24:38,46,2096,22933,573,0,70280,0,0,98
132,2021-05-09 16:24:43,46,2095,21585,555,0,56,0,0,98
133,2021-05-09 16:24:48,46,2096,23223,567,0,0,0,0,97
134,2021-05-09 16:24:53,44,2096,24477,720,0,8712,0,0,98
135,2021-05-09 16:24:58,46,2094,23436,849,0,15280,0,0,98
136,2021-05-09 16:25:03,46,2096,22884,952,0,6370,0,0,98
137,2021-05-09 16:25:08,46,2095,21135,794,0,6370,0,0,98
138,2021-05-09 16:25:13,46,2095,21291,576,0,0,0,0,98
139,2021-05-09 16:25:18,46,2093,18689,543,0,3168,0,0,98
140,2021-05-09 16:25:23,46,2095,20280,556,0,12936,0,0,98
141,2021-05-09 16:25:28,46,2096,23959,610,0,0,0,0,98
142,2021-05-09 16:25:33,46,2099,24492,595,0,402,0,0,98
143,2021-05-09 16:25:38,47,2098,25943,600,0,22582,0,0,98
144,2021-05-09 16:25:43,35,2121,58425,955,0,12936,0,0,98
145,2021-05-09 16:25:48,46,2112,22258,579,0,13271,0,0,98
146,2021-05-09 16:25:53,46,2110,18950,510,0,18,0,0,98
147,2021-05-09 16:25:58,46,2111,19930,515,0,9207,0,0,98
148,2021-05-09 16:26:03,46,2111,22025,538,0,14157,0,0,98
149,2021-05-09 16:26:08,46,2110,22750,546,0,12233,0,0,98
150,2021-05-09 16:26:13,46,2107,23332,522,0,12969,0,0,98
151,2021-05-09 16:26:18,46,2105,23787,520,0,16137,0,0,98
152,2021-05-09 16:26:23,46,2100,24651,520,0,7857,0,0,98
153,2021-05-09 16:26:28,46,2099,20095,519,0,15474,0,0,98
154,2021-05-09 16:26:33,44,2097,18706,508,0,1188,0,0,98
155,2021-05-09 16:26:38,46,2097,21424,629,0,0,0,0,98
156,2021-05-09 16:26:43,46,2097,20315,526,0,6370,0,0,98
157,2021-05-09 16:26:48,46,2101,21888,630,0,10,0,0,98
158,2021-05-09 16:26:53,46,2101,20779,636,0,0,0,0,98
159,2021-05-09 16:26:58,46,2114,21262,647,0,0,0,0,98
160,2021-05-09 16:27:03,46,2114,22527,655,0,14542,0,0,98
161,2021-05-09 16:27:09,47,2114,26548,674,0,6479,0,0,98
162,2021-05-09 16:27:14,47,2113,31788,657,0,13094,0,0,98
163,2021-05-09 16:27:19,47,2106,33496,614,0,12969,0,0,98
164,2021-05-09 16:27:24,47,2103,24016,599,0,13692,0,0,98
165,2021-05-09 16:27:29,46,2104,21430,557,0,9,0,0,98
166,2021-05-09 16:27:34,46,2122,30570,659,0,22968,0,0,98
167,2021-05-09 16:27:39,47,2122,35965,766,0,25849,0,0,98
168,2021-05-09 16:27:44,47,2123,36004,698,0,41229,0,0,98
169,2021-05-09 16:27:49,47,2118,36210,775,0,13924,0,0,98
170,2021-05-09 16:27:54,47,2109,29003,744,0,6534,0,0,98
171,2021-05-09 16:27:59,47,2107,27071,708,0,12870,0,0,98
172,2021-05-09 16:28:04,47,2106,26642,659,0,14256,0,0,98
173,2021-05-09 16:28:09,46,2108,25783,647,0,6534,0,0,98
174,2021-05-09 16:28:14,47,2108,23946,629,0,27027,0,0,98
175,2021-05-09 16:28:19,47,2108,21978,622,0,6534,0,0,98
176,2021-05-09 16:28:24,47,2106,19151,567,0,10,0,0,98
177,2021-05-09 16:28:29,46,2106,18562,544,0,6435,0,0,98
178,2021-05-09 16:28:34,46,2108,20571,576,0,6534,0,0,98
179,2021-05-09 16:28:39,47,2107,22255,586,0,0,0,0,98
180,2021-05-09 16:28:44,47,2107,22625,587,0,0,0,0,98
181,2021-05-09 16:28:49,47,2105,22514,597,0,7821,0,0,98
182,2021-05-09 16:28:54,47,2107,24505,597,0,0,0,0,98
183,2021-05-09 16:28:59,47,2107,22747,573,0,0,0,0,98
184,2021-05-09 16:29:04,47,2105,23701,611,0,10,0,0,98
185,2021-05-09 16:29:09,47,2106,23345,571,0,10,0,0,98
186,2021-05-09 16:29:14,47,2140,36391,707,0,13068,0,0,98
187,2021-05-09 16:29:19,47,2110,26152,577,0,33660,0,0,98
188,2021-05-09 16:29:24,47,2105,20859,512,0,0,0,0,98
189,2021-05-09 16:29:29,47,2106,22380,549,0,392,0,0,98
190,2021-05-09 16:29:34,46,2105,21204,535,0,0,0,0,98
191,2021-05-09 16:29:39,47,2106,23391,573,0,1400,0,0,98
192,2021-05-09 16:29:44,47,2106,23742,579,0,20637,0,0,98
193,2021-05-09 16:29:49,47,2107,22417,565,0,6545,0,0,98
194,2021-05-09 16:29:54,47,2113,25512,599,0,98218,0,0,98
195,2021-05-09 16:29:59,47,2113,25460,584,0,6534,0,0,98
196,2021-05-09 16:30:04,47,2110,26295,589,0,13860,0,0,98
197,2021-05-09 16:30:09,47,2110,24641,603,0,6588,0,0,98
198,2021-05-09 16:30:15,47,2109,22906,556,0,6435,0,0,98
199,2021-05-09 16:30:20,47,2109,23211,580,0,9609,0,0,98
200,2021-05-09 16:30:25,47,2109,25309,615,0,12375,0,0,98
201,2021-05-09 16:30:30,47,2112,25328,629,0,6534,0,0,98
202,2021-05-09 16:30:35,47,2111,23187,573,0,6585,0,0,98
203,2021-05-09 16:30:40,46,2114,31770,704,0,19512,0,0,98
204,2021-05-09 16:30:45,47,2114,27050,636,0,18810,0,0,98
205,2021-05-09 16:30:50,47,2113,25844,630,0,13748,0,0,98
206,2021-05-09 16:30:55,47,2115,30398,713,0,15147,0,0,98
207,2021-05-09 16:31:00,47,2114,26957,646,0,44946,0,0,98
208,2021-05-09 16:31:05,47,2115,27722,679,0,6336,0,0,98
209,2021-05-09 16:31:10,47,2114,25020,635,0,0,0,0,98
210,2021-05-09 16:31:15,47,2115,23582,619,0,8415,0,0,98
211,2021-05-09 16:31:20,47,2112,23629,616,0,12177,0,0,98
212,2021-05-09 16:31:25,47,2114,24446,633,0,26928,0,0,98
213,2021-05-09 16:31:30,47,2112,22271,610,0,10,0,0,98
214,2021-05-09 16:31:35,47,2112,21521,581,0,0,0,0,98
215,2021-05-09 16:31:40,47,2111,20819,561,0,10,0,0,98
216,2021-05-09 16:31:45,47,2111,21776,561,0,2376,0,0,98
217,2021-05-09 16:31:50,47,2112,20791,566,0,19503,0,0,98
218,2021-05-09 16:31:55,47,2113,22062,562,0,25849,0,0,98
219,2021-05-09 16:32:00,47,2114,21121,590,0,15147,0,0,98
220,2021-05-09 16:32:05,47,2113,18680,555,0,6435,0,0,98
221,2021-05-09 16:32:10,47,2130,29404,689,0,8043,0,0,98
222,2021-05-09 16:32:15,47,2117,26420,637,0,7623,0,0,98
223,2021-05-09 16:32:21,47,2115,23729,601,0,16929,0,0,98
224,2021-05-09 16:32:26,47,2114,24967,643,0,6357,0,0,98
225,2021-05-09 16:32:31,47,2115,25056,628,0,0,0,0,98
226,2021-05-09 16:32:36,47,2135,31778,703,0,37367,0,0,98
